cid,doi,literature_type,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
6336604,US-2020148710-A1,patent,BF,[B]F,00000371020001000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,30.0077083,2,LIB,0
6336604,EP-3653634-A1,patent,BF,[B]F,00000371020001000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,30.0077083,2,LIB,0
6336604,CN-110891958-B,patent,BF,[B]F,00000371020001000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,30.0077083,2,LIB,0
6336604,US-2022158244-A1,patent,BF,[B]F,00000371020001000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,30.0077083,2,LIB,1
6336604,CN-115995598-A,patent,BF,[B]F,00000371020001000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,30.0077083,2,SIB,1
6336604,JP-2005200518-A,patent,BF,[B]F,00000371020001000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,30.0077083,2,LIB,1
18008160,JP-2006172982-A,patent,C8H9BO3,B(O)(O)OC1=CC=C(C=C1)C=C,00000371C2703000000000000000000000000000000000000000300000000000000000010000081A00000800000C0480980030068000000080022042000002000020200008880006088808262280111280300024C01108880780C0000E20000000000000004000000000000000000000000000,49.7,164.0644743,12,LIB,1
18008160,JP-4451768-B2,patent,C8H9BO3,B(O)(O)OC1=CC=C(C=C1)C=C,00000371C2703000000000000000000000000000000000000000300000000000000000010000081A00000800000C0480980030068000000080022042000002000020200008880006088808262280111280300024C01108880780C0000E20000000000000004000000000000000000000000000,49.7,164.0644743,12,LIB,1
18008160,US-2006147805-A1,patent,C8H9BO3,B(O)(O)OC1=CC=C(C=C1)C=C,00000371C2703000000000000000000000000000000000000000300000000000000000010000081A00000800000C0480980030068000000080022042000002000020200008880006088808262280111280300024C01108880780C0000E20000000000000004000000000000000000000000000,49.7,164.0644743,12,LIB,0
18008160,CN-116344928-A,patent,C8H9BO3,B(O)(O)OC1=CC=C(C=C1)C=C,00000371C2703000000000000000000000000000000000000000300000000000000000010000081A00000800000C0480980030068000000080022042000002000020200008880006088808262280111280300024C01108880780C0000E20000000000000004000000000000000000000000000,49.7,164.0644743,12,LIB,0
15181925,US-9343776-B2,patent,C13H25BO2,B1(OC(C(O1)(C)C)(C)C)/C=C/CCCCC,00000371E2703000000000000000000000000000000120000000000000000000000000000000281A00000000000C448080000200000000008000204200000000002000000800000000080100020001000000000080000000010000000880000000000000000000000000000000000000000000,18.5,224.1947602,16,LIB,0
2773292,KR-100788162-B1,patent,C6H4BBrF2O2,B(C1=C(C(=C(C=C1)Br)F)F)(O)O,000003718260318000100000000000000000000000000000000030000000000000000001000028190040080001A8008010083000800000008000204200000200002000040888000000A8082022801010802000208000088A170000000000000000000000000000000000000000000000000000,40.5,235.94558,12,LIB,0
21870694,CN-118336009-A,patent,C6H4BF3O3,B(O)(O)OC1=CC(=C(C(=C1)F)F)F,0000037182603180000000000000000000000000000000000000300000000000000000010000081B0000080000080480900830068000000080002042000002000020200000880006088808262280111280300024C0110888078040000000000000000000000000000000000000000000000000,49.7,192.0205586,13,Other,0
16218219,CN-111162312-A,patent,C14H17BF2O2,B1(OC(C(O1)(C)C)(C)C)/C=C/C2=CC(=CC(=C2)F)F,00000371E2703180000000000000000000000000000120000000300000000000000000010000281B00000000000C448098083200800000008002204200000200002000000888000000880920228011108020002080000888070080000E80000000000000000000000000000000000000000000,18.5,266.1289663,19,LIB,0
92269,CN-116565307-A,patent,C6H8BNO2,B(C1=CC(=CC=C1)N)(O)O,00000371C2623000000000000000000000000000000000000000300000000000000000010000281C0010080000080881100030C08040000080002442400082000020020008880000648808202280919180200060900008C8071000000000000000000000000000000000000000000000000000,66.5,137.0648087,10,LIB,0
3672173,CN-111146496-A,patent,C9H13BO3,B(C1=CC(=CC=C1)CCCO)(O)O,00000371C2703000000000000000000000000000000000000000300000000000000000010000281A00000800000C00A0980230008000020080022042000002000020000008880000008808302280111080600024800008880780C0A00E00000000000000000000000000000000000000000000,60.7,180.0957744,13,LIB,0
139377,WO-2020250982-A1,patent,CH5BO2,B(C)(O)O,00000371820030000000000000000000000000000000000000000000000000000000000000002810000008000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,60.0382596,4,LIB,0
139377,JP-WO2019082904-A1,patent,CH5BO2,B(C)(O)O,00000371820030000000000000000000000000000000000000000000000000000000000000002810000008000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,60.0382596,4,LIB,1
139377,US-2024101789-A1,patent,CH5BO2,B(C)(O)O,00000371820030000000000000000000000000000000000000000000000000000000000000002810000008000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,60.0382596,4,Other,-1
139377,US-10727534-B2,patent,CH5BO2,B(C)(O)O,00000371820030000000000000000000000000000000000000000000000000000000000000002810000008000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,60.0382596,4,MIB,0
139377,US-9480166-B2,patent,CH5BO2,B(C)(O)O,00000371820030000000000000000000000000000000000000000000000000000000000000002810000008000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,60.0382596,4,Other,0
139377,US-7012124-B2,patent,CH5BO2,B(C)(O)O,00000371820030000000000000000000000000000000000000000000000000000000000000002810000008000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,60.0382596,4,LIB,0
2777204,CN-116231081-A,patent,C7H6BF3O3,B(C1=CC=CC=C1OC(F)(F)F)(O)O,0000037182603180000000000000000000000000000000000000300000000000000000010000281B000008000008048090103006800004008000204200000208002020000888000608880C262284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,49.7,206.0362087,14,LMB,1
