UMAP1,UMAP2,ID
-6.769008,-0.05382164,23010
-6.4972706,0.68477094,103010
-5.4867516,12.745432,99010
-6.626733,0.33826867,87010
-7.6003428,5.6746993,114010
-6.574772,0.48928875,74010
-6.4822226,0.69974875,86010
-6.666929,0.19761078,82010
-5.6365376,12.565398,125010
-7.6125107,5.66211,20010
-6.670343,0.18413575,60010
-6.4979906,0.73634994,71010
-6.5092397,0.8082576,106010
-7.7560287,4.832074,14010
-7.7554336,4.833559,92010
-7.018019,-0.88884884,51010
-7.2835684,2.5244358,102010
-5.6154423,12.586873,68011
-7.7556953,4.832939,12011
-7.2729354,2.510233,110011
-6.5729647,0.49095023,124011
-7.596151,5.6531825,27011
-7.7256994,4.8696,24011
-7.375412,2.6571782,47011
-6.8065643,-0.5958948,109011
-5.6204424,12.581575,123011
-6.7074695,0.09370108,15011
-6.4624047,0.771253,96011
-7.593421,5.658813,22011
-5.434112,12.815308,42011
-6.753951,-0.016521461,62011
-7.025857,-0.9139752,115011
-7.2691593,2.50901,30011
-6.575611,0.4833656,65011
-7.663195,4.9633703,95011
-6.6258364,0.22073562,9011
-6.419427,0.8030944,33011
-7.5998225,5.653562,64011
-5.526539,12.706475,25011
-6.679262,0.13552952,113011
-6.6830535,0.12917213,28011
-7.597772,5.6543775,80011
-6.7773824,-0.037463203,89011
-6.6649537,0.20291738,5011
-7.654425,4.995387,66011
-7.3677483,2.6457584,120011
-7.609542,5.520776,39011
-6.782468,-0.23263377,49011
-6.4241414,0.84058505,35011
-7.592894,5.6572385,16011
-7.2714257,2.5090547,69011
-7.0524216,-0.9633009,34011
-7.752456,4.837322,83011
-6.545956,0.5669517,7011
-5.6275873,12.574446,119011
-7.686085,4.932354,43011
-6.6897883,0.119422175,70011
-7.272481,2.509542,101011
-6.5334735,0.59142363,121011
-6.6817985,0.13195306,8011
-5.5250406,12.708397,13011
-5.68336,12.515689,93011
-6.805452,-0.59314245,3011
-5.483959,12.753355,17011
-6.5719113,0.49901462,38011
-7.602415,5.661378,72011
-7.7567625,4.8318405,98011
-7.662466,4.963091,6011
-5.431039,12.818742,81011
-5.65712,12.544327,108011
-6.625287,0.31862575,100011
-7.0567837,-0.9698487,54011
-6.6728554,0.17588188,50011
-6.6207576,0.22909507,84011
-5.6570396,12.544502,46011
-6.763767,-0.032009866,85011
-7.2712574,2.5100164,61011
-7.028139,-0.92153895,122011
-7.5913405,5.6640553,79011
-6.499682,0.6759139,111011
-6.462899,0.7700574,41011
-6.4636307,0.7685505,58011
-5.6232176,12.578965,90011
-7.615993,5.6680803,48011
-6.6784534,0.13691856,88011
-6.774927,-0.0245328,107011
-6.462778,0.7706899,57011
-7.0619555,-0.9775477,75011
-7.7553315,4.8333187,32011
-5.4337544,12.815203,118011
-7.7362437,4.8551154,59011
-5.614944,12.587385,63011
-7.273788,2.511487,105011
-7.2837334,2.5243652,37011
-7.6177506,5.669858,29011
-7.2683506,2.5051184,112011
-7.6000853,5.6547775,1011
-6.7826967,-0.23394404,52011
-6.4242654,0.83695,21011
-7.5917115,5.663619,2011
-6.7630963,-0.030450795,23011
-6.4954243,0.7288184,103011
-5.491485,12.741925,99011
-6.6233916,0.3499164,87011
-7.5990467,5.6606994,114011
-6.5378976,0.5794188,74011
-6.5781837,0.47545552,86011
-6.674269,0.17099968,82011
-5.619615,12.582529,125011
-7.6092544,5.6608725,20011
-6.6666875,0.19567282,60011
-6.495353,0.74222076,71011
-6.50919,0.8006316,106011
-7.751268,4.83896,14011
-7.755752,4.8332734,92011
-7.02741,-0.91892713,51011
-7.2799625,2.5202897,102011
-5.6340847,12.568151,68100
-7.750682,4.839611,12100
-7.271656,2.509179,110100
-6.4970737,0.67243046,124100
-7.615042,5.6383085,27100
-7.744667,4.846492,24100
-7.377485,2.6600099,47100
-6.805786,-0.59363073,109100
-5.6393065,12.562876,123100
-6.7167034,0.07697525,15100
-6.4596806,0.780116,96100
-7.5986266,5.6617675,22100
-5.463803,12.778485,42100
-6.743854,0.0040630247,62100
-7.0197115,-0.8941717,115100
-7.267959,2.5078115,30100
-6.520159,0.6215068,65100
-7.6653886,4.960438,95100
-6.629415,0.21399859,9100
-6.4210687,0.7979994,33100
-7.598647,5.6668653,64100
-5.526247,12.706713,25100
-6.711741,0.08758292,113100
-6.6849236,0.12548165,28100
-7.5977926,5.652227,80100
-6.771056,-0.024455879,89100
-6.6641755,0.20573567,5100
-7.6550303,5.005011,66100
-7.374989,2.656084,120100
-7.604333,5.613302,39100
-6.778797,-0.20657952,49100
-6.402622,0.9101444,35100
-7.5600796,5.626042,16100
-7.270828,2.5080485,69100
-7.0287747,-0.92245317,34100
-7.751057,4.8384356,83100
-6.543699,0.5720063,7100
-5.6352406,12.567198,119100
-7.6939573,4.9192023,43100
-6.683086,0.12863623,70100
-7.271547,2.5088544,101100
-6.5449886,0.56630486,121100
-6.6945086,0.102032915,8100
-5.526543,12.706393,13100
-5.640517,12.561804,93100
-6.805373,-0.5928085,3100
-5.4966063,12.735417,17100
-6.573348,0.49409136,38100
-7.591385,5.6774445,72100
-7.7522035,4.8376875,98100
-7.663168,4.962435,6100
-5.4642944,12.778158,81100
-5.6550612,12.547277,108100
-6.590032,0.43513307,100100
-7.045084,-0.94793046,54100
-6.6736865,0.17225984,50100
