x,y,group
0.9828462,12.697501,Unlabeled
-1.9917097,11.049751,Unlabeled
13.907558,8.275582,Unlabeled
-2.716112,5.54425,Unlabeled
0.924605,8.792026,Unlabeled
4.621683,11.196775,Unlabeled
-0.630105,8.591982,Unlabeled
-4.1058345,10.691981,Unlabeled
-7.6042686,8.89206,Unlabeled
-0.26385158,9.199453,Unlabeled
3.2563107,11.270461,Unlabeled
1.132519,11.046502,Unlabeled
-5.51632,17.906572,Unlabeled
2.3616543,11.701917,Unlabeled
1.2358161,10.845288,Unlabeled
1.912863,11.7836075,Unlabeled
2.045221,8.882997,Unlabeled
-3.3388908,7.794726,Unlabeled
3.9518087,10.576326,Unlabeled
-1.971223,5.66733,Unlabeled
6.405792,12.1059475,Unlabeled
2.522625,13.90226,Unlabeled
-1.8452731,6.595673,Unlabeled
1.5181539,9.709161,Unlabeled
1.476408,13.437933,Unlabeled
-0.75931716,10.879202,Unlabeled
-2.2296755,11.165507,Unlabeled
-0.19312175,12.05918,Unlabeled
-1.0053514,12.086478,Unlabeled
-5.793974,5.2063,Unlabeled
0.69361377,10.265605,Unlabeled
-2.416065,11.549331,Unlabeled
0.6277328,9.889053,Unlabeled
3.5346491,11.774584,Unlabeled
-3.6037586,3.3022609,Unlabeled
4.8125625,9.584113,Unlabeled
0.6256641,7.61215,Unlabeled
-7.4536405,10.242246,Unlabeled
0.5451811,8.154908,Unlabeled
3.3926668,9.998737,Unlabeled
-0.12813161,11.0089,Unlabeled
1.0912917,17.029491,Unlabeled
-2.7367716,4.9997244,Unlabeled
-0.6963604,9.08161,Unlabeled
-0.48052973,8.950713,Unlabeled
2.2823699,13.877037,Unlabeled
0.88120013,11.574408,Unlabeled
2.6975787,9.466951,Unlabeled
-6.933337,8.007148,Unlabeled
0.17977425,10.481023,Unlabeled
-2.8631392,6.467968,Unlabeled
-0.56141907,10.664491,Unlabeled
3.5340679,11.275574,Unlabeled
3.0946715,12.040359,Unlabeled
0.3887204,12.877561,Unlabeled
-0.13899177,11.283293,Unlabeled
0.36971524,11.736089,Unlabeled
-3.2736773,13.827988,Unlabeled
-1.0176524,8.466781,Unlabeled
-2.6324153,5.409541,Unlabeled
2.2143738,11.246125,Unlabeled
-1.4577948,6.1967864,Unlabeled
-4.0578303,10.72827,Unlabeled
1.8485472,10.086984,Unlabeled
-1.2578897,10.490352,Unlabeled
-0.899539,9.182366,Unlabeled
0.6136465,7.7450294,Unlabeled
-2.0556054,11.707277,Unlabeled
-2.5093095,5.5267434,Unlabeled
0.5475502,7.9602914,Unlabeled
0.2619124,10.793753,Unlabeled
0.842659,17.04205,Unlabeled
2.8203576,10.039045,Unlabeled
-0.7967364,10.621992,Unlabeled
-4.883082,12.663275,Unlabeled
-3.3962426,20.822552,Unlabeled
0.5840929,10.683475,Unlabeled
3.8772845,20.232574,Unlabeled
-4.2158294,7.986556,Unlabeled
0.18912159,10.793688,Unlabeled
2.2438238,11.51159,Unlabeled
-2.2151887,8.134816,Unlabeled
-0.7680621,13.00294,Unlabeled
1.0254265,17.427965,Unlabeled
6.411365,12.095724,Unlabeled
1.7205029,10.139575,Unlabeled
0.75446296,11.693391,Unlabeled
-4.4512978,10.902092,Unlabeled
0.92917246,13.324197,Unlabeled
-3.1960685,9.118609,Unlabeled
-7.7556233,9.791043,Unlabeled
-0.7813151,10.99391,Unlabeled
-3.8632195,18.018435,Unlabeled
0.2123929,9.255658,Unlabeled
-2.8737104,7.960715,Unlabeled
3.908137,12.088368,Unlabeled
3.15945,12.626958,Unlabeled
3.05994,4.337793,Unlabeled
-0.98136604,8.224879,Unlabeled
-8.127411,8.575286,Unlabeled
-3.9329853,17.205547,Unlabeled
-1.9819438,8.760754,Unlabeled
-5.764868,17.907793,Unlabeled
-2.9136093,3.820999,Unlabeled
-10.305779,9.723619,Unlabeled
2.344167,9.67586,Unlabeled
1.2296369,12.787795,Unlabeled
-8.78726,8.912778,Unlabeled
-2.436428,8.351893,Unlabeled
2.0547643,10.886076,Unlabeled
-6.8064218,7.506894,Unlabeled
2.4035175,14.055547,Unlabeled
-3.3885696,6.2772913,Unlabeled
3.1395414,10.518618,Unlabeled
-2.3935244,9.295293,Unlabeled
-0.22592679,12.465769,Unlabeled
2.0467284,7.1572533,Unlabeled
-1.7113284,6.6148434,Unlabeled
-6.9439635,9.824522,Unlabeled
1.7062842,10.123846,Unlabeled
2.4568698,14.168883,Unlabeled
-1.6442043,10.561729,Unlabeled
1.9215995,11.55876,Unlabeled
-0.708762,10.044989,Unlabeled
2.0567496,8.890909,Unlabeled
2.4403067,9.984538,Unlabeled
-1.0256989,4.1503,Unlabeled
4.412939,15.438219,Unlabeled
-1.9300293,8.410781,Unlabeled
0.30850828,10.533016,Unlabeled
0.01892371,8.628982,Unlabeled
0.058142554,10.662652,Unlabeled
-0.2633326,11.18116,Unlabeled
-3.512209,3.5396757,Unlabeled
-1.4733139,12.527127,Unlabeled
-4.272818,7.940481,Unlabeled
0.85829407,16.44649,Unlabeled
0.56197095,11.914701,Unlabeled
-3.0411139,8.667877,Unlabeled
-0.97259504,12.0789795,Unlabeled
0.21086483,12.670268,Unlabeled
-3.5210814,7.711898,Unlabeled
-2.3234546,9.250475,Unlabeled
-2.362357,4.6853414,Unlabeled
-3.6002653,19.386848,Unlabeled
-0.17525536,11.744863,Unlabeled
-0.83665234,12.980105,Unlabeled
1.679057,9.158317,Unlabeled
-3.654448,3.308391,Unlabeled
2.3045073,14.215509,Unlabeled
-7.0591545,8.432282,Unlabeled
0.1953398,10.928601,Unlabeled
-1.4847295,8.308995,Unlabeled
-2.8011715,12.6019,Unlabeled
-1.0368687,11.516357,Unlabeled
0.57560843,12.307038,Unlabeled
-1.9211197,8.779799,Unlabeled
-3.560468,20.593376,Unlabeled
2.5281289,13.283394,Unlabeled
-0.7463042,10.1581,Unlabeled
2.5457857,13.250716,Unlabeled
-3.2508123,7.8588133,Unlabeled
0.9475262,12.548301,Unlabeled
-0.10933691,9.813433,Unlabeled
1.3948963,10.837338,Unlabeled
3.0549836,11.634833,Unlabeled
2.92655,11.371381,Unlabeled
-0.20530652,9.771435,Unlabeled
-1.6817687,9.068016,Unlabeled
