similarity_rank,cid,prototype,prototype_label,x_center,bar_width,similarity,assigned_prototype,assigned_prototype_label,max_prototype_similarity
28,425307,7,NP7,27.35142857142857,0.10777142857142856,-0.04418634995818138,1,NP1,0.8049940466880798
29,2736203,1,NP1,27.64857142857143,0.10777142857142856,-0.20187285542488098,6,NP6,0.804841160774231
29,2736203,2,NP2,27.765714285714285,0.10777142857142856,-0.2029721587896347,6,NP6,0.804841160774231
29,2736203,3,NP3,27.882857142857144,0.10777142857142856,-0.28831368684768677,6,NP6,0.804841160774231
29,2736203,4,NP4,28.0,0.10777142857142856,-0.15367622673511505,6,NP6,0.804841160774231
29,2736203,5,NP5,28.117142857142856,0.10777142857142856,0.08348345756530762,6,NP6,0.804841160774231
29,2736203,6,NP6,28.234285714285715,0.10777142857142856,0.804841160774231,6,NP6,0.804841160774231
29,2736203,7,NP7,28.35142857142857,0.10777142857142856,-0.3232261836528778,6,NP6,0.804841160774231
30,75360847,1,NP1,28.64857142857143,0.10777142857142856,-0.20329326391220093,6,NP6,0.8046560287475586
30,75360847,2,NP2,28.765714285714285,0.10777142857142856,-0.20158350467681885,6,NP6,0.8046560287475586
30,75360847,3,NP3,28.882857142857144,0.10777142857142856,-0.28398942947387695,6,NP6,0.8046560287475586
30,75360847,4,NP4,29.0,0.10777142857142856,-0.14256972074508667,6,NP6,0.8046560287475586
30,75360847,5,NP5,29.117142857142856,0.10777142857142856,0.08082770556211472,6,NP6,0.8046560287475586
30,75360847,6,NP6,29.234285714285715,0.10777142857142856,0.8046560287475586,6,NP6,0.8046560287475586
30,75360847,7,NP7,29.35142857142857,0.10777142857142856,-0.3221203684806824,6,NP6,0.8046560287475586
31,15520532,1,NP1,29.64857142857143,0.10777142857142856,-0.20103029906749725,6,NP6,0.8046156764030457
31,15520532,2,NP2,29.765714285714285,0.10777142857142856,-0.2054165005683899,6,NP6,0.8046156764030457
31,15520532,3,NP3,29.882857142857144,0.10777142857142856,-0.2837667763233185,6,NP6,0.8046156764030457
31,15520532,4,NP4,30.0,0.10777142857142856,-0.175447016954422,6,NP6,0.8046156764030457
31,15520532,5,NP5,30.117142857142856,0.10777142857142856,0.08812503516674042,6,NP6,0.8046156764030457
31,15520532,6,NP6,30.234285714285715,0.10777142857142856,0.8046156764030457,6,NP6,0.8046156764030457
