prototype,prototype_label,prototype_rank,x_center,bar_width,cid,similarity,similarity_column,assigned_prototype,assigned_prototype_label,max_prototype_similarity
4,NP4,47,46,0.72,22722373,-0.20372635126113892,sim_to_NP4,6,NP6,0.7892118096351624
4,NP4,48,47,0.72,58050304,-0.21046406030654907,sim_to_NP4,3,NP3,0.7838299870491028
4,NP4,49,48,0.72,71334465,-0.21061107516288757,sim_to_NP4,5,NP5,0.7374493479728699
4,NP4,50,49,0.72,25112575,-0.21114212274551392,sim_to_NP4,3,NP3,0.7904896140098572
4,NP4,51,50,0.72,108841,-0.23436632752418518,sim_to_NP4,5,NP5,0.7489742040634155
4,NP4,52,51,0.72,71384846,-0.24363748729228973,sim_to_NP4,5,NP5,0.7469909191131592
4,NP4,53,52,0.72,71384845,-0.24379807710647583,sim_to_NP4,5,NP5,0.7499092221260071
4,NP4,54,53,0.72,13789232,-0.24568629264831543,sim_to_NP4,1,NP1,0.8051366806030273
4,NP4,55,54,0.72,17177,-0.24665337800979614,sim_to_NP4,5,NP5,0.7240414023399353
4,NP4,56,55,0.72,15877487,-0.24727165699005127,sim_to_NP4,1,NP1,0.7923678755760193
4,NP4,57,56,0.72,21425,-0.26297250390052795,sim_to_NP4,5,NP5,0.7137600779533386
4,NP4,58,57,0.72,219443,-0.28059810400009155,sim_to_NP4,5,NP5,0.7481650114059448
4,NP4,59,58,0.72,21424,-0.29126396775245667,sim_to_NP4,5,NP5,0.740737795829773
4,NP4,60,59,0.72,13680388,-0.2999753952026367,sim_to_NP4,5,NP5,0.7400968074798584
4,NP4,61,60,0.72,71346374,-0.307953804731369,sim_to_NP4,5,NP5,0.7494205236434937
4,NP4,62,61,0.72,122587,-0.3171079754829407,sim_to_NP4,5,NP5,0.749528169631958
5,NP5,1,0,0.72,71384845,0.7499092221260071,sim_to_NP5,5,NP5,0.7499092221260071
5,NP5,2,1,0.72,122587,0.749528169631958,sim_to_NP5,5,NP5,0.749528169631958
5,NP5,3,2,0.72,71346374,0.7494205236434937,sim_to_NP5,5,NP5,0.7494205236434937
5,NP5,4,3,0.72,108841,0.7489742040634155,sim_to_NP5,5,NP5,0.7489742040634155
5,NP5,5,4,0.72,219443,0.7481650114059448,sim_to_NP5,5,NP5,0.7481650114059448
5,NP5,6,5,0.72,71384846,0.7469909191131592,sim_to_NP5,5,NP5,0.7469909191131592
5,NP5,7,6,0.72,21424,0.740737795829773,sim_to_NP5,5,NP5,0.740737795829773
5,NP5,8,7,0.72,13680388,0.7400968074798584,sim_to_NP5,5,NP5,0.7400968074798584
5,NP5,9,8,0.72,71334465,0.7374493479728699,sim_to_NP5,5,NP5,0.7374493479728699
5,NP5,10,9,0.72,352104,0.7332116961479187,sim_to_NP5,5,NP5,0.7332116961479187
5,NP5,11,10,0.72,71386315,0.7300816178321838,sim_to_NP5,5,NP5,0.7300816178321838
5,NP5,12,11,0.72,17177,0.7240414023399353,sim_to_NP5,5,NP5,0.7240414023399353
5,NP5,13,12,0.72,21425,0.7137600779533386,sim_to_NP5,5,NP5,0.7137600779533386
5,NP5,14,13,0.72,4121732,0.14996330440044403,sim_to_NP5,6,NP6,0.7967953681945801
5,NP5,15,14,0.72,4072412,0.12448333948850632,sim_to_NP5,6,NP6,0.7814565300941467
5,NP5,16,15,0.72,11050988,0.11827585101127625,sim_to_NP5,6,NP6,0.8198520541191101
5,NP5,17,16,0.72,10876447,0.11374641209840775,sim_to_NP5,6,NP6,0.8165456056594849
5,NP5,18,17,0.72,12159360,0.1009838879108429,sim_to_NP5,6,NP6,0.8109763860702515
