method,nearest_proto_similarity,assigned_prototype
PCL encoder only,0.733200192451477,6
PCL encoder only,0.7459288835525513,2
PCL encoder only,0.7488878965377808,2
PCL encoder only,0.6720659136772156,6
PCL encoder only,0.7080889940261841,6
PCL encoder only,0.7943215370178223,1
PCL encoder only,0.7409006357192993,6
PCL encoder only,0.7048724293708801,6
PCL encoder only,0.7294960021972656,2
PCL encoder only,0.6599602103233337,6
PCL encoder only,0.7384817600250244,2
PCL encoder only,0.6590174436569214,6
PCL encoder only,0.6873370409011841,6
PCL encoder only,0.6726400852203369,6
PCL encoder only,0.7236695289611816,2
PCL encoder only,0.8079451322555542,2
PCL encoder only,0.7183473110198975,6
PCL encoder only,0.7627224326133728,2
PCL encoder only,0.7171024680137634,2
PCL encoder only,0.7301095724105835,2
PCL encoder only,0.7403234839439392,2
PCL encoder only,0.7709856033325195,2
PCL encoder only,0.6618279814720154,6
PCL encoder only,0.6625242233276367,6
PCL encoder only,0.7875179648399353,1
PCL encoder only,0.6917425394058228,6
PCL encoder only,0.651197075843811,6
PCL encoder only,0.6745312213897705,6
PCL encoder only,0.6918601989746094,6
PCL encoder only,0.7380771636962891,2
PCL encoder only,0.7699068784713745,2
PCL encoder only,0.6716969609260559,6
PCL encoder only,0.6841430068016052,2
PCL encoder only,0.7110532522201538,2
PCL encoder only,0.7403726577758789,6
PCL encoder only,0.7743165493011475,2
PCL encoder only,0.7623330354690552,2
PCL encoder only,0.6873640418052673,6
PCL encoder only,0.739945650100708,2
PCL encoder only,0.7637479305267334,2
PCL encoder only,0.7357687950134277,2
PCL encoder only,0.7412183284759521,2
PCL encoder only,0.6858418583869934,6
PCL encoder only,0.707030177116394,6
PCL encoder only,0.6924484968185425,6
PCL encoder only,0.6889026165008545,6
PCL encoder only,0.7650219798088074,2
PCL encoder only,0.680628776550293,2
PCL encoder only,0.6702491044998169,6
PCL encoder only,0.7361462116241455,2
PCL encoder only,0.6726356148719788,6
PCL encoder only,0.7805832624435425,2
PCL encoder only,0.671166181564331,6
PCL encoder only,0.7354998588562012,2
PCL encoder only,0.6911426782608032,6
PCL encoder only,0.6717326641082764,6
PCL encoder only,0.7409050464630127,2
PCL encoder only,0.769273042678833,2
PCL encoder only,0.742030143737793,2
PCL encoder only,0.7004090547561646,2
PCL encoder only,0.750862717628479,2
PCL encoder only,0.7174192667007446,2
PCL encoder only,0.7661022543907166,1
PCL encoder only,0.7587774991989136,2
PCL encoder only,0.7540943622589111,2
PCL encoder only,0.7578920125961304,2
PCL encoder only,0.801687479019165,2
PCL encoder only,0.6733424067497253,6
PCL encoder only,0.6764175295829773,6
PCL encoder only,0.7498085498809814,2
PCL encoder only,0.6964173316955566,2
