epoch,prototype,mean_umap_1,mean_umap_2,std_umap_1,std_umap_2
68,3,1.9465292,4.5977182,8.618149,9.2527485
68,4,6.151269,5.7715807,7.1899486,6.9369073
68,5,6.8353157,5.7233496,10.085841,8.494711
68,6,4.0030923,3.5762417,3.4906409,7.673694
68,7,5.905226,3.5833015,6.6224113,8.155714
69,1,2.029406,3.0673947,10.294844,8.775841
69,2,3.3500392,5.541973,9.855363,7.43312
69,3,1.937425,4.5858517,8.604573,9.252124
69,4,6.149995,5.787473,7.183191,6.9431124
69,5,6.8308372,5.7212286,10.096632,8.50792
69,6,4.0133557,3.565497,3.4971268,7.6930165
69,7,5.8997154,3.568641,6.6085052,8.165147
70,1,2.0297513,3.0645883,10.301877,8.764839
70,2,3.3680935,5.544469,9.868444,7.4324985
70,3,1.9409024,4.5877333,8.594321,9.24165
70,4,6.1519456,5.7901177,7.1790833,6.9442673
70,5,6.8367753,5.728659,10.097014,8.486584
70,6,4.0059147,3.5590477,3.4936955,7.6979375
70,7,5.9080644,3.5614161,6.6094184,8.169259
71,1,2.0314271,3.0644023,10.319979,8.764148
71,2,3.374108,5.5283813,9.859872,7.430691
71,3,1.9442022,4.5853386,8.574523,9.231162
71,4,6.155183,5.7778273,7.178966,6.9482684
71,5,6.834633,5.732522,10.089077,8.487391
71,6,4.0000706,3.5604584,3.488274,7.702219
71,7,5.917656,3.545018,6.585036,8.177738
72,1,2.0338166,3.0556302,10.33861,8.756183
72,2,3.395188,5.520613,9.871948,7.432811
72,3,1.9289023,4.581809,8.568231,9.227242
72,4,6.15571,5.7806754,7.1763635,6.9459443
72,5,6.8394213,5.734014,10.0991955,8.4762745
72,6,3.9860604,3.5789196,3.4970233,7.723307
72,7,5.9164867,3.5202732,6.569862,8.179413
73,1,2.0478847,3.0448878,10.348081,8.749066
73,2,3.4018543,5.517997,9.868685,7.4297957
73,3,1.9393661,4.584025,8.564362,9.216321
73,4,6.165851,5.7903323,7.1717954,6.9528065
73,5,6.8435144,5.754151,10.102209,8.46967
73,6,3.9932933,3.5725105,3.496458,7.737248
73,7,5.914942,3.525375,6.5613985,8.193852
74,1,2.0515637,3.0341985,10.359257,8.739287
74,2,3.4105701,5.509461,9.881148,7.4412317
74,3,1.9426126,4.575425,8.535711,9.202558
74,4,6.1842217,5.786059,7.1664405,6.9576964
74,5,6.844439,5.7593913,10.103745,8.464325
74,6,3.9966273,3.5785015,3.5016303,7.7259793
74,7,5.9179893,3.5116127,6.554139,8.196497
75,1,2.057056,3.0235572,10.368928,8.745667
75,2,3.4368281,5.4978323,9.886352,7.4361897
75,3,1.9386412,4.54786,8.519083,9.182494
75,4,6.174233,5.7848635,7.17088,6.9571095
75,5,6.842496,5.756385,10.09818,8.448169
75,6,3.9958026,3.5674388,3.5166154,7.739566
75,7,5.9258165,3.5011058,6.54281,8.210516
76,1,2.0645757,3.0275328,10.376837,8.725342
76,2,3.4533443,5.492884,9.893675,7.439709
76,3,1.9340832,4.556182,8.512875,9.1958475
76,4,6.1853514,5.78813,7.1598253,6.968064
76,5,6.833762,5.750549,10.1068325,8.444665
76,6,4.0031157,3.5683322,3.5157597,7.752463
76,7,5.9310503,3.4783,6.527738,8.215873
77,1,2.0698352,3.0103145,10.388617,8.727893
